year,lender_id,lender_name
2004,4-0000000470,HUNTINGTON FEDERAL SAVINGS BK
2004,4-0000000597,CHEVIOT SAVINGS BANK
2004,4-0000000670,CAPITOL FEDERAL SAVINGS BANK
2004,4-0000000709,"GUARDIAN SAVINGS BANK, FSB"
2004,4-0000000880,WASHINGTON FEDERAL S&L
2004,4-0000000887,HOME FEDERAL BANK
2004,4-0000000890,HOME BANK
2004,4-0000001235,"CITIBANK, FSB"
2004,4-0000001245,HOME FEDERAL BANK
2004,4-0000001420,CENTURY BANK
2004,4-0000001441,CENTURY BANK FSB
2004,4-0000001452,MIDDLESEX FEDERAL SAVINGS F.A.
2004,4-0000001532,LIBERTY FEDERAL SAVINGS BANK
2004,4-0000001639,LIBERTY FEDERAL SAVINGS BANK
2004,4-0000001959,LINCOLN BANK
2004,4-0000002004,FIRST FEDERAL SAVINGS & LOAN
2004,4-0000002098,MIDAMERICA BANK
2004,4-0000002148,CHESAPEAKE BANK OF MARYLAND
2004,4-0000002165,HEARTLAND BANK
2004,4-0000002319,KEARNY FEDERAL SAVINGS BANK
2004,4-0000002343,"SOMERSET SAVINGS BANK, SLA"
2004,4-0000002402,"BANKFINANCIAL, F.S.B."
2004,4-0000002454,COLUMBIA BANK
2004,4-0000002630,M&I BANK FSB
2004,4-0000002720,FIRST FEDERAL CAPITAL BANK
2004,4-0000002966,THIRD FEDERAL BANK
2004,4-0000003309,TIERONE BANK
2004,4-0000003536,FIRST FEDERAL OF LAKEWOOD
2004,4-0000003676,UNITED FIDELITY BANK
2004,4-0000003756,FIRST FEDERAL SAVINGS & LOAN
2004,4-0000003781,WINDSOR FEDERAL SAVINGS & LOAN
2004,4-0000003866,CHARLEROI FEDERAL SAVINGS BANK
2004,4-0000003896,LINCOLN FEDERAL SAVINGS BANK
2004,4-0000003927,NORTH AMERICAN SAVINGS BANK
2004,4-0000003970,"INDYMAC BANK, F.S.B."
2004,4-0000003997,FEDERAL SAVINGS BANK
2004,4-0000004072,OHIO SAVINGS BANK
2004,4-0000004081,FIRST FEDERAL BANK
2004,4-0000004192,FIRST FEDERAL BANK OF THE MIDW
2004,4-0000004347,RIVERVIEW COMMUNITY BANK
2004,4-0000004410,SOVEREIGN BANK
2004,4-0000004543,"PRUDENTIAL SAVINGS BANK, PaSA"
2004,4-0000004544,THIRD FEDERAL SAVINGS AND LOAN
2004,4-0000004612,Roma Bank
2004,4-0000004859,Hatboro Federal Savings
2004,4-0000005106,PULASKI BANK
2004,4-0000005190,PROVIDENT BANK
2004,4-0000005198,COMMERCIAL FEDERAL BANK
2004,4-0000005273,CARVER FEDERAL SAVINGS BANK
2004,4-0000005506,LAKE SHORE SAVINGS
2004,4-0000005848,E*TRADE BANK
2004,4-0000006051,PROVIDENT SAVINGS BANK
2004,4-0000006069,LEHMAN BROTHERS BANK
2004,4-0000006164,EL DORADO SAVINGS BANK
2004,4-0000006189,DOWNEY SAVINGS & LOAN
2004,4-0000006432,FIRST FEDERAL BANK
2004,4-0000006468,FIRST FEDERAL BANK FOR SAVINGS
2004,4-0000006809,"COLONIAL SAVINGS, F.A."
2004,4-0000007506,INTERAMERICAN BANK
2004,4-0000007635,TRUSTCO BANK
2004,4-0000007703,SLOVENIAN SAVINGS & LOAN ASSN.
2004,4-0000007785,UNIBANK
2004,4-0000007918,STERLING SAVINGS BANK
2004,4-0000007938,WILMINGTON SAVINGS FUNDS SOCIE
2004,4-0000007960,LUTHER BURBANK SAVINGS
2004,4-0000007975,USAA FEDERAL SAVINGS BANK
2004,4-0000008028,"STERLING BANK & TRUST, FSB"
2004,4-0000008043,"DOLLAR BANK, FSB"
2004,4-0000008045,"BANKUNITED, FSB"
2004,4-0000008083,NEW SOUTH FEDERAL SAVINGS BANK
2004,4-0000008097,Peoples Community Bank
2004,4-0000008109,UNION SAVINGS BANK
2004,4-0000008145,"CHEVY CHASE BANK, F.S.B."
2004,4-0000008146,SECURITY FEDERAL SAVINGS
2004,4-0000008150,UNION SAVINGS BANK
2004,4-0000008186,"PRESIDENTIAL BANK, F.S.B."
2004,4-0000008412,FLAGSTAR BANK
2004,4-0000008475,"NETBANK, INC"
2004,4-0000008491,GREATER ATLANTIC BANK
2004,4-0000008529,UNION FED BK OF INDIANAPOLIS
2004,4-0000008534,GUARANTY BANK
2004,4-0000008547,FIRST SAVINGS BANK
2004,4-0000008551,"WASHINGTON MUTUAL BANK, FA"
