,respondentname,hmda_id,advertiser_name,advertiser_id,match_index,score
2264,FARMERS STATE BANK OF DANFORTH,30000-0000018566,,,,
2265,FIRST BANK OF OWASSO,30000-0000018592,,,,
2266,AMERICAN BANK OF COMMERCE,30000-0000018609,,,,
2267,"FIRST STATE BANK, MESQUITE",30000-0000018621,,,,
2268,ARCHER BANK,30000-0000018625,,,,
2269,BANK OF WAUKEGAN,30000-0000018626,,,,
2270,FIRST BANK AND TRUST CO. OF IL,30000-0000018641,,,,
2271,MUTUAL BANK,30000-0000018659,Bank Mutual,139.0,418.0,100.0
2272,CHARTER BANK NORTHWEST,30000-0000018660,,,,
2273,NORTH VALLEY BANK,30000-0000018710,,,,
2274,FIRSTBANK OF COLORADO,30000-0000018714,,,,
2275,NORTH HOUSTON BANK,30000-0000018776,,,,
2276,TOKAI BANK OF CALIFORNIA,30000-0000018825,,,,
2277,IMPERIAL BANK,30000-0000018835,,,,
2278,CEDAR CREEK BANK,30000-0000018853,,,,
2279,COMMUNITY BANK OF TRENTON,30000-0000018889,Community Bank & Trust,292.0,145.0,80.59479060238974
2280,CALIFORNIA COMMERCE BANK,30000-0000018923,,,,
2281,HORIZON CAPITAL BANK,30000-0000018929,,,,
2282,BANK OF BELLE GLADE,30000-0000018930,,,,
2283,CALVERT BANK AND TRUST COMPANY,30000-0000018933,,,,
2284,DAKOTA COUNTY STATE BANK,30000-0000018944,,,,
2285,MORNINGSIDE BANK & TRUST,30000-0000018958,,,,
2286,ROSSVILLE BANK,30000-0000018959,,,,
2287,ROYAL BANK OF PENNSYLVANIA,30000-0000018962,,,,
2288,RIVER CITY BANK,30000-0000018983,River City Bank,969.0,247.0,100.0
2289,SIUSLAW VALLEY BANK,30000-0000019006,,,,
2290,PARKWAY BANK & TRUST CO.,30000-0000019008,,,,
2291,SOUTHVIEW BANK,30000-0000019021,,,,
2292,STATE BANK OF WEST FARGO,30000-0000019037,,,,
2293,ELGIN STATE BANK,30000-0000019042,,,,
2294,FREDONIA STATE BANK,30000-0000019067,,,,
2295,THREE RIVERS BANK,30000-0000019104,,,,
2296,HARRIS BANK WESTCHESTER,30000-0000019107,,,,
2297,DRAPER BANK,30000-0000019169,,,,
2298,"CIB BANK, ATTN: STEVE HEROD",30000-0000019171,,,,
2299,RURAL AMERICAN BANK,30000-0000019180,,,,
2300,CONNECTICUT BANK OF COMMERCE,30000-0000019183,,,,
2301,FIRST MINNETONKA CITY BANK,30000-0000019188,,,,
2302,COMMUNITY BANK OF PETTIS CNTY,30000-0000019189,,,,
2303,MERAMEC VALLEY BANK,30000-0000019200,,,,
2304,BENCHMARK BANK,30000-0000019215,,,,
2305,PARK STATE BANK,30000-0000019294,,,,
2306,REPUBLIC BANK OF CHICAGO,30000-0000019333,,,,
2307,PACESETTER BANK,30000-0000019340,,,,
2308,EXCEL BANK,30000-0000019355,,,,
2309,"MID CITY BANK, INC.",30000-0000019397,,,,
2310,CHINATRUST BANK (U.S.A),30000-0000019416,,,,
2311,AMERICAUNITED BANK AND TRUST,30000-0000019418,,,,
2312,BANK OF AGRICULTURE & COMMERCE,30000-0000019434,,,,
