,respondentname,hmda_id,advertiser,advertiser_id,score
89698,MEMBERSFIRST CREDIT UNION,5-0000067538,Members First Credit Union,2541,90.72621107
89711,ST ANNES CREDIT UNION OF FR MA,5-0000067605,St Annes Credit Union,71144,86.8059501
89718,FIRST CENTRAL CREDIT UNION,5-0000067644,First Central Credit Union,27480,100
89748,CAPITOL CREDIT UNION,5-0000067865,Capital Credit Union,806,94.28328723
89761,NASHVILLE POST OFFICE CREDIT U,5-0000067922,,,
89783,FIRST SOUTH FINANCIAL CREDIT U,5-0000068084,First South Financial Credit Union,103133,93.52191605
89787,MASS BAY CREDIT UNION,5-0000068137,Mass Bay Credit Union,84879,100
89789,LIFEWAY CREDIT UNION,5-0000068172,Members Choice Of Central TX Federal Credit Union,75202,87.76387745
89791,HOPE FEDERAL CREDIT UNION,5-0000068185,SPE Federal Credit Union,99239,90.89033208
89796,PUGET SOUND COOPERATIVE CU,5-0000068204,,,
89855,KAARON WILLIAMS,5-0000068373,,,
89888,PEOPLESCHOICECREDITUNION.COM,5-0000068442,,,
89896,NORTH ISLANLD CREDIT UNION,5-0000068452,North Island Financial Credit Union,20017,81.05758255
89922,INTOUCH CREDIT UNION,5-0000068505,InTouch Credit Union,93914,100
89932,SOFCU COMMUNITY CREDIT UNON,5-0000068534,DHCU Community Credit Union,73525,85.2355374
89955,KITSAP CREDIT UNION,5-0000068576,,,
89965,ICON CREDIT UNION,5-0000068594,Union Credit Union,81047,85.70581482
89968,DECATUR EARTHMOVER CREDIT UNIO,5-0000068597,,,
89969,DEERE EMPLOYEES CREDIT UNION,5-0000068598,John Deere Community Credit Union,10273,100
89975,GEORGIA UNITED CREDIT UNION,5-0000068607,Georgia United Credit Union,103381,100
89976,TEXELL CREDIT UNION,5-0000068608,Texell Credit Union,43713,81.11591275
89991,CU COMMUNITY  LLC,5-20-3878295,,,
89992,SUPERIOR FINANCIAL SOLUTIONS,5-20-5799048,Star Financial Solutions,191667,80.32868932
89994,CCFCU FUNDING LLC,5-27-1365466,US Funding,81012,86.05713805
89995,MEMBER POWER SERVICES GROUP,5-27-1878860,,,
89999,MORTGAGE CENTER  LLC,5-38-3358941,Trade Center,16783,88.16562137
90000,MORTGAGE SOLUTIONS  LLC,5-43-1847878,CurrentFinancialSolutions.com,94805,91.44888377
90010,SOUTHWEST COMMUNITY FEDERAL CR,5-99-0002288,,,
90017,SUCCESS MORTGAGE PARTNERS  INC,7-01-0759540,Success Mortgage Partners,143783,85.21053014
90018,SEFCU SERVICES  LLC,7-01-0940996,Zen Garden Restaurant,168647,85.35545537
90031,CLEARPOINT FUNDING  INC.,7-04-3516820,,,
90044,TOTAL MORTGAGE SERVICES  LLC,7-06-1484285,A&D Mortgage,168723,87.90158017
90046,TRI-EMERALD FINANCIAL GROUP  I,7-06-1819106,,,
90067,ASSOCIATED MORTGAGE BANKERS IN,7-11-2961751,,,
90074,NATIONWIDE EQUITIES,7-11-3469077,,,
90077,SFMC  LP. - SFMC  LP.,7-1100900005,,,
90079,LHM FINANCIAL CORPORATION,7-1146500007,CI Investments,221773,85.50010727
90084,STANDARD PACIFIC MORTGAGE,7-1177500008,,,
90126,ALCOVA MORTGAGE,7-14-1886719,,,
90134,PRIMARY CAPITAL ADVISORS LLC,7-1461700004,TSB Capital Advisors,179698,86.82355052
