,respondentname,hmda_id,advertiser,advertiser_id,score
,,,BAM Worldwide,145446,
,,,Baptist Primary Care Center,145448,
,,,BBK Bank,145453,
,,,BCP IV GrafTech Holdings,145456,
,,,BCT Income Tax Center,145457,
,,,SUPREME COURT OF BERMUDA,145463,
,,,BK Bookkeeping & Tax Service,145467,
,,,Augusta Mortgage Company,145472,
,,,Botsford Group,145502,
,,,BPV,145507,
,,,BST Investment Advisors,145511,
,,,BT Financial Group,145512,
,,,BTJ Consulting Service,145514,
,,,Bucks County School District,145515,
,,,Butler Area School District,145516,
,,,Bad Credit Business Loans,145518,
,,,Balanced Bookkeeping & Accounting,145525,
,,,Balanced Growth Advisors,145526,
,,,Ball State University,145529,
,,,Ballard Mortgage Co,145530,
,,,Baltimore Auto Loan Approval,145533,
,,,Banco Security,145560,
,,,Bangkok Bank,145572,
,,,Bangkok Garden Restaurant,145573,
,,,Banjo,145575,
,,,Bank Of Augusta,145607,
,,,Bank Of ID,145675,
,,,Chip & Pin,145687,
,,,Bankers Lending Group,145690,
,,,Barbados Public Workers Co-Operative Credit Union,145699,
,,,Baring Private Equity Partners,145713,
,,,Barso Agency,145720,
,,,Bassett Unified School District,145724,
,,,Baton Investing,145726,
,,,Be Local Network,145745,
,,,Beals Caruana & Co Accountants,145753,
,,,Beaumont Capital Mgt,145755,
,,,Beaumont Health System,145756,
,,,Bederson Accounting Service,145758,
,,,Behavioral Health Capital Solutions,145762,
,,,Bell Leasing Co,145765,
,,,Bellwether,145770,
,,,Bellwether Investment Group,145771,
,,,Bellwether Lending,145772,
,,,Bennett & King CPA,145780,
,,,Bennion Deville Homes Realty,145781,
,,,Benson Mortgages,145783,
,,,Bento For Business,145784,
,,,Bergen Gemology,145786,
,,,Bermuda Investment Advisory Services,145798,
,,,Bernard Financial,145799,
,,,Bernice F Lord Certified Public Accountant,145800,
,,,Best Best & Krieger,145807,
,,,Best Egg,145809,
,,,Orca.Trade,145811,
,,,Best Team Tax Consulting Group,145812,
,,,Beta-1 Tax Services,145813,
,,,IfTheBankSaysNo.com,145820,
,,,Bidvest Bank,145822,
,,,Biggs Hausserman Thompson & Dickinson Financial Services,145823,
,,,Binary Trading Lab,145828,
,,,BinaryTilt,145829,
,,,Birch Bay Tax & Accounting,145831,
,,,Bison Business Solutions,145833,
,,,BitPesa,145835,
,,,BitQuick,145836,
,,,Bitnet,145838,
,,,Bizfi,145841,
,,,Blessing Industries Prairieland,145854,
,,,Blue Clover Financial,145861,
,,,Blue Ridge Partners Mgt Consulting,145870,
,,,Blue Sky Capital Strategies,145871,
,,,BluePay Credit Card Processing Service,145873,
,,,Blueberry Mortgages,145874,
,,,Boca Raton Regional Hospital,145878,
,,,Bolsa Mania Financial Group,145882,
,,,BondWave,145886,
,,,Boos Development Group,145889,
,,,Boston Housing Authority,145895,
,,,BoursePro,145900,
,,,Bridge Financial Advisors,145913,
,,,Bridgewater Financial,145920,
,,,Bristlecone Lending,145929,
,,,Bristol Bay Area Health Corp,145930,
,,,Britam,145932,
,,,Britannica Auto,145933,
,,,Brookdale Skylyn,145938,
,,,Brooke Charter Schools,145939,
,,,Brooklyn Union Gas Co,145944,
,,,Broussard Poche Accountants,145948,
,,,Brown Harris Wealth Mgt,145956,
,,,Bulletproof Bookkeeping,145972,
,,,Burbey Accounting Services,145974,
,,,Burlington Clothing Store,145976,
,,,Business Capital Central,145979,
,,,Business Credit Reports,145981,
,,,Business Funding America,145983,
,,,Business Loan Leads,145986,
,,,Butler Financial Group,145987,
,,,BHS Dermatology Assoc,145988,
,,,Butterfield Bank,145991,
,,,Buy VND,145992,
,,,Capital Investment Advisors,146004,
,,,Childrens Trust Organization,146028,
,,,myHorizon,146030,
,,,CMB Regional Centers,146052,
,,,Color Me Mine Craft Store,146067,
,,,COLUMBIA ARTISTS MGT INC,146068,
,,,CompuNet Clinical Laboratories,146075,
,,,County Records Research Service,146079,
,,,Creighton University,146085,
,,,CRW Insurance & Financial Services,146088,
,,,CSI Consultants,146090,
,,,CTD Debt Solutions,146093,
,,,Cypress Hills Cemetery,146101,
,,,Cachet Financial Services,146104,
,,,Cades Investment,146109,
,,,Calgary Auto Financing,146118,
,,,California Auto Credit,146120,
,,,Vested,146140,
,,,Calvin University,146141,
,,,Cambria Investment Mgt,146144,
,,,Camelot Portfolios,146153,
,,,Canadian Tire Financial,146161,
,,,Cantel Medical,146164,
,,,Capalino Co,146166,
,,,Capital Business Funding,146172,
,,,Capital Markets Cooperative,146186,
,,,Capital South Funding Mortgage Co,146190,
,,,Capitec Bank,146193,
,,,Capitol Indemnity Corp,146197,
,,,Total Loss Appraisals,146202,
,,,Car Finance Co,146203,
,,,Car Loan Care,146204,
,,,CAR LOAN DOCTOR,146205,
,,,Cardtronics,146208,
,,,CarePayment,146211,
,,,Carfinance247,146213,
,,,Carl Marks Advisors,146214,
,,,Carlini Accounting Service,146216,
,,,TGI Fridays Restaurant,146219,
,,,Carnegie Investment Counsel,146224,
,,,Carrick Capital Partners,146232,
,,,Carson Institutional Alliance,146235,
,,,Carteret Business Partnership,146238,
,,,Castereno Insurance & Tax Service,146254,
,,,Catawba Capital Mgt Service,146257,
,,,Catholic Family Services,146263,
,,,Mount St Marys Hospital,146266,
,,,Catholic Holy Family Society,146267,
,,,Cecil A Ross Investment & Insurance Group,146270,
,,,Celebration Funding Inc,146272,
,,,Centennial Financial Group,146277,
,,,Cents Plus Ability Financial Solutions,146309,
,,,Cesar Olivares Financial Advisor,146321,
,,,Roche Financial,146322,
,,,Channel Partners Capital,146334,
,,,Channing Capital Mgt,146335,
,,,Charter School Capital,146356,
,,,Chase Gold,146360,
,,,Chesapeake Accounting Co,146374,
,,,Chilton Wilcox & Fortenberry Accountants,146392,
,,,UAM Universal Asset Mgt,146393,
,,,Chivaho Federal Credit Union,146397,
,,,YourTradeChoice.com,146400,
,,,Christeen Seymour CPA,146404,
,,,Church Of Boston Restaurant,146408,
,,,Cincinnati State Technical & Community College,146414,
,,,Cinco De Mayo Restaurant,146416,
,,,Cinkciarz.pl Currency Exchange,146418,
,,,Circle Of Safety Advisors,146419,
,,,CCC Citizens Capital,146437,
,,,Civista Bank,146454,
,,,Clarion Partners,146457,
,,,Clear Income Strategies Group,146464,
,,,Close Finance,146476,
,,,Cloud Lending Solutions,146477,
,,,Clydesdale Bank Plc,146478,
,,,Coach 4 Retirees Inc,146480,
,,,Coachella Valley Assn Of Governments,146481,
,,,Coast Dental,146482,
,,,Coe Financial Group,146492,
,,,CointTent Payment Service,146498,
,,,Coldstream Wealth Mgt,146502,
,,,College Avenue Student Loans,146504,
,,,Colony American Finance,146507,
,,,CommStock Report Stock Brokerage,146524,
,,,Commercial Bank Of Dubai,146536,
,,,Commercial Property Loan Pros,146539,
,,,Commercial Loan Solutions,146543,
,,,Community Hero Program,146579,
,,,Community Services Group,146584,
,,,Origin Bank,146588,
,,,COMPASS GROUP,146594,
,,,Compass Real Estate,146595,
,,,Comprehensive Cancer Centers Of NV,146598,
,,,Comprehensive Finance,146600,
,,,Connecticut Energy Efficiency Fund,146620,
,,,Connecticut GI Medical Clinic,146621,
,,,Connecticut Water Service,146627,
,,,Beth Israel Medical Center,146641,
,,,Cooperative Credit Union Assn,146648,
,,,Copart,146651,
,,,Corporate Credit Network,146668,
,,,Ski FLX Mountain Pass,146671,
,,,Council For Entrepreneurial Development,146672,
,,,Better Business Bureau,146674,
,,,Counterpoint Asset Mgt,146675,
,,,Cover & Rossiter CPA,146684,
,,,Covestro,146687,
,,,Cowan Financial Group,146688,
,,,Auto Title Express,146691,
,,,Credex,146693,
,,,Credit Junction,146704,
,,,Credit Mutuel De Bretagne,146706,
,,,Credit Suppliers,146717,
,,,Credit Unions Of FL,146734,
,,,Cresco Bank & Trust,146747,
,,,Crossroads Tax Advisors,146752,
,,,Crouch Farley & Heuring PC,146753,
,,,Crouch Ins Consulting,146754,
,,,Culpepper CPA,146765,
,,,Currency Cloud,146769,
,,,FxGrow,146778,
,,,CapitalOption,146779,
,,,D&M Accounting Services,146780,
,,,Delaware County Community College,146792,
,,,DELTA CREDIT UNION,146793,
,,,DGI-Menard Services,146794,
,,,DMM FX,146798,
,,,Doctors Medical Center,146799,
,,,Dale Tolstyka & Co CPA,146814,
,,,Dan Calton CPA,146818,
,,,DarSalud Mgt Accountants,146822,
,,,Darryl J Gillespie PC,146824,
,,,OConnor Hospital,146828,
,,,David Mullins Wealth Mgt,146831,
,,,Dean Reeves CPA,146843,
,,,Defence Bank,146857,
,,,Delerme Accounting & Tax Service,146862,
,,,Demetrius Berkower Accounting Service,146868,
,,,DentalLoans.com,146875,
,,,Desert Wind Faith Films Co,146882,
,,,DHL,146904,
,,,DiMarco & Co Accounting & Tax Services,146909,
,,,Different Mortgage,146918,
,,,Digital Golf Pass,146921,
,,,Kashi Class Action,146922,
,,,Diligent Credit Solutions,146923,
,,,Direct Credit Repair,146929,
,,,DirectPay,146937,
,,,Discus Holdings,146948,
,,,Distressed Capital Mgt,146949,
,,,Ditto Asset Mgt,146951,
,,,DividendMachine.com,146955,
,,,DividendAlpha,146956,
,,,Do Hard Money,146958,
,,,Doby Professional Reporting,146959,
,,,Dodick Landau,146961,
,,,Domestic & Intl Real Estate Closing Tax Services,146968,
,,,Dominos Pizza Restaurant,146974,
,,,Domitys Investment Services,146975,
,,,Donald S Bicking & Assoc,146977,
,,,Dorsey Wright & Assoc Investment Advisory Firm,146980,
,,,Drake & Assoc,146995,
,,,Drake Equity Financial,146996,
,,,Dream Town Realty,146998,
,,,Drexel Hamilton,146999,
,,,Easy Funding,147023,
,,,EBitInvest,147024,
,,,Ecotrader.es Trading,147025,
,,,TrioMarkets Stock Market,147026,
,,,EFG-Hermes,147029,
,,,EMortgage Logic,147030,
,,,Englewood Hospital & Medical Center,147034,
,,,Garlock Sealing Tech,147035,
,,,ENett,147037,
,,,Ez Waste Systems Service,147051,
,,,Opportunity Bank Of MT,147053,
,,,EagleStone Tax & Wealth Advisors,147060,
,,,Easier Bookkeeping,147062,
,,,Eastern Loans,147070,
,,,Eastern MI Investment Services,147071,
,,,Easterseals Society,147076,
,,,Easy Auto Loans Canada,147078,
,,,EasyBitcoinTrading.com,147079,
,,,Easyfinancial Services,147080,
,,,Bears Smokehouse Barbecue Restaurant,147081,
,,,Riviana Foods Inc,147085,
,,,EdenTree Investment Mgt,147089,
,,,Edenred Commuter Benefit Solutions,147090,
,,,Edith I Christian Accounting & Tax Service,147095,
,,,Edmonds Community College,147096,
,,,Education Planning Resources,147097,
,,,Elaine Dukes Tax Prep Service,147116,
,,,Elam Financial Group,147117,
,,,Elevation Capital Group,147122,
,,,Eliot-Rose Asset Mgt,147127,
,,,Elsinore,147132,
,,,EMCORE CORP,147138,
,,,Emerald Art Services Appraisers,147139,
,,,Emerald Coast Financial Accounts,147140,
,,,Empowerment Financial Group,147144,
,,,Enterpro Services,147162,
,,,Envoy Financial,147167,
,,,Abetterfinancialplan.com,147171,
,,,Equinox Funds,147175,
,,,Equity Based Lending,147181,
,,,Equity Multiple,147183,
,,,Erie Auto Credit,147190,
,,,Esquire Financing,147197,
,,,Euro America Financial City,147202,
,,,Evanovich Blessing & Assoc,147207,
,,,Eversource Energy Co,147217,
,,,Excalibur Royalty,147220,
,,,Excel Financial,147221,
,,,Exchange4Free.com,147225,
,,,Exemplar Financial Network,147234,
,,,Exit Engineers Investment Mgt Services,147236,
,,,Expat Pension Review,147238,
,,,Extreme Tax & Insurance Services,147253,
,,,EzDinero,147257,
,,,FBMC Benefits Management,147268,
,,,FBS Markets,147270,
,,,FDA Tax & Financial Service,147275,
,,,FDS Broker Services,147276,
,,,FFCA,147278,
,,,FHA Rate Guide Mortgage Services,147279,
,,,Certegy Ezi-Pay,147290,
,,,FMC Technologies Inc,147293,
,,,Fonville-Morisey Realty,147311,
,,,FTJ FundChoice,147319,
,,,FTT Global,147320,
,,,FXTM Trading,147322,
,,,FaithVest,147336,
,,,Falah Capital,147337,
,,,Falcom Financial Services,147338,
,,,FamZoo,147340,
,,,Family Medical Center,147344,
,,,Family Wealth Map,147347,
,,,Farnsworth Financial Services,147373,
,,,Fast Bucks Payday Loans,147376,
,,,FastTrack Fundraising Service,147378,
,,,Fidelity Tax Relief,147413,
,,,Fidelity Worldwide Investment,147414,
,,,Fiera,147415,
,,,Fifo Trader,147416,
,,,File990.org,147424,
,,,FinMason,147425,
,,,Finances On The Move,147427,
,,,Financial Centre,147431,
,,,Financial Independents,147440,
,,,FMS Financial Mgt Services Of America,147443,
,,,Financial Precision Group,147451,
,,,Financial Technology,147455,
,,,Financial Transmission Network,147456,
,,,Finet Mortgage,147460,
,,,Finpari Binary Options Broker,147462,
,,,First Choice Lending Services,147509,
,,,First Financial Tax Group,147567,
,,,First Las Cruces Mortgage,147590,
,,,First National Bank Of Wichita Falls,147622,
,,,CHA Consulting,147641,
,,,First Working Capital Group,147667,
,,,FitBiz Loans,147685,
,,,FlashFunders,147694,
,,,Flatirons Capital Mgt Co,147696,
,,,Florence Financial Services,147700,
,,,Florida Boat Loans,147702,
,,,Fly Leasing Ltd,147714,
,,,Foothill Asset Mgt,147721,
,,,Foreign & Colonial Investment Trust,147726,
,,,Foremost Currency Group,147727,
,,,ForexTime,147733,
,,,Forrester Hart Belisle & Whitaker Accountants,147734,
,,,Fortiva Financial,147740,
,,,Four Springs Capital Trust,147754,
,,,Fractional Equities,147762,
,,,Franchise CrossRoads,147763,
,,,Frank Financial Advisors,147768,
,,,FreeTaxNow.com Tax Service,147791,
,,,Freedom Advisory Group,147793,
,,,Freedom Financial Asset Mgt,147800,
,,,Friendship Home Adult Day & Respite Care,147814,
,,,Badger Acquisition,147821,
,,,FullCapitalStack Investments,147823,
,,,Fundamental Applications,147834,
,,,Funding Options Services,147839,
,,,Funding Superstore,147840,
,,,Fusco Riley Reismeier Financial Group,147841,
,,,Futures Institute,147844,
,,,General & Cosmetic Dentistry,147853,
,,,Golder Assoc Services,147865,
,,,Golub Capital,147866,
,,,Goodman Mfg Co,147868,
,,,GoPublicNow.com Trading,147869,
,,,Flintkote Co,147872,
,,,Gap,147885,
,,,Garbarino Assoc Financial Services,147887,
,,,K-Solv Lp,147888,
,,,Garrett A Surles CPA,147889,
,,,Garton Pate Financial Advisors,147890,
,,,Gastroenterology Specialists,147892,
,,,Gates & Assoc Accounting & Tax Firm,147894,
,,,Genesis Global Trading,147922,
,,,CheckMyEquity.com,147930,
,,,German P Culver Jr CPA,147942,
,,,Gibbons Financial Group Inc,147947,
,,,GibsonMayer,147951,
,,,Girl Scouts Of America,147955,
,,,Glazer Financial Network,147958,
,,,Globacom,147963,
,,,Global Jet Capital,147967,
,,,Global Maritime Group,147968,
,,,Global Net Lease,147969,
,,,Global View Investment Advisors,147975,
,,,Glory Days Grill,147978,
,,,Go Direct Lenders,147980,
,,,Gold Finance Group,147984,
,,,Golden Rule Financial Services,147991,
,,,Golden State Farm Credit,147993,
,,,Gordons Fine Wine & Liquors Of Boston Inc,148004,
,,,Gorilla Trades,148006,
,,,Graper Accounting & Tax Services,148016,
,,,A&P,148018,
,,,Green Capital,148034,
,,,Green Tree Funding,148040,
,,,Greenough Consulting Group,148047,
,,,Greenpath Lending,148049,
,,,Greentree Brokerage Services,148051,
,,,GrowBinary,148062,
,,,Guardian Tax Consulting Service,148073,
,,,HAS Capital,148094,
,,,HEALTHPORT,148097,
,,,HotForex,148099,
,,,HLM Financial Group,148101,
,,,HLP Mortgage Co,148102,
,,,HML Investments Real Estate Finance,148104,
,,,HPC Puckett & Co,148114,
,,,Hickory Springs Mfg Co,148120,
,,,Haffner & Assoc CPA,148125,
,,,Hain,148127,
,,,Halliday Financial,148130,
,,,Hanawalt Tax Service,148137,
,,,Hanson Capital Group,148145,
,,,Harris County Hospital District,148160,
,,,Hart & Patterson Financial Group,148163,
,,,Hatton National Bank,148180,
,,,Hawaiian Airlines,148188,
,,,Haynes & Boone Llp,148191,
,,,HedgeCoVest Stock Brokerage,148210,
,,,Hedlund Tax & Accounting Service,148212,
,,,Helping America Group,148222,
,,,Henry Ricci CPA,148224,
,,,Herald Media Group Golf Card 2015,148226,
,,,Heritage Provider Network,148246,
,,,Heritage Wealth Mgt,148248,
,,,HighTower,148258,
,,,Highmark Capital Management,148261,
,,,Hinkle & Landers Accountants & Business Consultants,148278,
,,,Hofstra University,148281,
,,,10Trade Binary Options,148282,
,,,Holly Walther & Team,148286,
,,,Holman Frenia Allison CPA,148287,
,,,Home Appreciation Rights,148291,
,,,Home Tax Solutions,148302,
,,,HOMETOWN CASH ADVANCE,148317,
,,,Honest Dollar,148326,
,,,Retirementincomepro.com Retirement Services,148334,
,,,Horizon Tax Relief,148338,
,,,Hornsby Asset Mgt Co,148339,
,,,Housing & Development Bank,148340,
,,,Hubbs Belcher & Co,148348,
,,,Hudson Cisne & Co Accounting Services,148349,
,,,Hull Loan Systems,148354,
,,,Human Bookkeeping Service,148355,
,,,Hunter Jones Investments,148356,
,,,I Do Lending,148367,
,,,ICS Financial,148376,
,,,IMA Consulting,148386,
,,,Dwell Downtown Membership Card,148389,
,,,Indianapolis-Marion Public Library,148390,
,,,Infinity Real Estate Agency,148393,
,,,Iocom,148395,
,,,Interstate Capital Services,148397,
,,,INVESTX Investing Community,148402,
,,,IOU Financial,148403,
,,,IQ Option,148406,
,,,Safeguard Financial Advisors,148407,
,,,Ideal Market,148422,
,,,Ikonic Fund Services,148423,
,,,Imprese Falcon,148435,
,,,Income Institute,148440,
,,,Infinity Consumer Services,148461,
,,,Innovative Lease Services,148472,
,,,Innovator Mgt,148473,
,,,Insight Tax Group,148476,
,,,Inspira Financial,148477,
,,,Inspirica Inc,148480,
,,,Instafund,148482,
,,,Instant Refund Tax Center,148483,
,,,Institutional Advisory Services Group,148485,
,,,Integrity Financial & Tax Consulting,148490,
,,,InterTech Group Inc,148498,
,,,Internal Tax Resolution Services,148509,
,,,INTERVAL INTL,148511,
,,,Intl Assets Advisory Corp,148513,
,,,Intl Financial Advisory Group,148519,
,,,Intl Paper,148523,
,,,Intra-Tax Services,148524,
,,,Invest Lithuania,148534,
,,,Investment Capital Group,148540,
,,,Investor Assist,148548,
,,,InvestorRehabFunds.com,148551,
,,,Investors Underground,148554,
,,,Invictus MD,148555,
,,,Iontuition Credit Counseling Service,148557,
,,,Ivy League Financial Advisors,148576,
,,,Iwoca Business Credit Facility,148578,
,,,Jack Resnick & Sons Realty,148583,
,,,James Construction Group,148585,
,,,JB Underhill Accounting Services,148586,
,,,JBA Financial Advisors,148587,
,,,Jefferson University Physicians,148593,
,,,JM Accounting & Tax Service,148599,
,,,Jackson College,148614,
,,,James K Turner Public Accountant,148620,
,,,James Magno CPA,148621,
,,,Jamie Head Financial Service,148622,
,,,Mandarin Oriental Hotels,148631,
,,,Jaynes Reitmeier Boyd & Therrell,148633,
,,,Jennifer A Gray Accountant,148645,
,,,Jim Lackey Assoc,148648,
,,,Jody L Golden CPA Accounting Service,148650,
,,,John G Gaines CPA,148652,
,,,John H Griesemer Accountant,148653,
,,,John Navin & Assoc,148654,
,,,Johnson County Community College,148659,
,,,Jordan Capital Finance,148667,
,,,Joseph Quijano CFP,148669,
,,,Joy Luck Restaurant,148673,
,,,Judges Bench Pub & Restaurant,148674,
,,,Kerv,148680,
,,,KIMMEL & ASSOC,148683,
,,,KLR Accounting,148684,
,,,Knopman Financial Training,148685,
,,,KOSEC Kodari Securities,148686,
,,,KPs Cash Advances,148688,
,,,Kalkine Services,148694,
,,,Kanu Global Logistics,148701,
,,,Karma Capital Direct,148702,
,,,Kash Club,148705,
,,,Keeley Funds,148713,
,,,Kelly Tax & Accounting Services,148718,
,,,Kensington Investment Counsel,148723,
,,,KeySavings Bank,148742,
,,,Keysight Technologies,148745,
,,,Kilpatrick Advisors Investment Mgt Service,148747,
,,,Kingsbury Business Services,148757,
,,,Kingside Partners,148758,
,,,Kirkwood Group Advisors,148764,
,,,Knoxville Employees Credit Union,148768,
,,,Koele Godfrey Investment Group,148771,
,,,Komara Financial Concepts,148775,
,,,Hensley Industries Inc,148776,
,,,Korhorn Financial Group,148777,
,,,Kotzan CPA & Assoc,148779,
,,,Kuwait Intl Bank,148785,
,,,City Of Lago Vista Texas,148791,
,,,Lake Tahoe Community College,148793,
,,,LDIC,148805,
,,,LiftCapital Corp,148814,
,,,Lincoln Intl,148815,
,,,LOANZ.COM,148819,
,,,LSU Healthcare Network,148826,
,,,LT Bookkeeping Services,148827,
,,,LafargeHolcim,148831,
,,,Louise Plus Card,148836,
,,,Lamna Financial,148844,
,,,Swifthub,148846,
,,,Lance Hocutt Financial Group,148847,
,,,Land Investment Securities Ltd,148849,
,,,Landbay Stock Brokerage,148851,
,,,Laner Muchin Attorney,148854,
,,,Larry H Miller Loans,148857,
,,,Las Vegas Clark County Library District,148858,
,,,Last Call Night Club,148860,
,,,Latchaw & Kilgore CPA,148861,
,,,Lateral Investment Mgt Group,148862,
,,,Latitude Loan Services,148863,
,,,Laytin Capital Funding,148869,
,,,Layton Construction Co,148870,
,,,STX Markets,148874,
,,,Leasing Experts,148883,
,,,Lee Wealth Mgt,148886,
,,,Legacy Guardian,148891,
,,,Legacy Lifestyle,148893,
,,,Legacy Planning Partners,148894,
,,,Legendre Patrimoine,148897,
,,,Leib Solutions Collection Agency,148900,
,,,LendInvest,148902,
,,,Lenderful,148906,
,,,Leverage Funding,148919,
,,,Liberty Street Advisors,148935,
,,,Lido Isle Advisors Stock Brokerage,148936,
,,,Life Plan Advisory Services,148939,
,,,Life Settlements Of The Gulf Coast,148942,
,,,LifeSmart Financial,148943,
,,,Lin Chai Rawlinson CPA,148948,
,,,Linas Bookkeeping Services,148949,
,,,Lisette Financial,148960,
,,,Little Giant Tax Service,148964,
,,,Livingston Intl,148966,
,,,Lloydshare Ltd,148970,
,,,Loan Options Plus,148972,
,,,LoanSage Service,148977,
,,,Loans 2 Go,148980,
,,,Loans Now,148981,
,,,Local Credit Experts,148982,
,,,Local Legacy,148984,
,,,Property Partner Investment Mgt,148993,
,,,Long Island Credit Unions Assn,149002,
,,,Longshaw Financial Group,149003,
,,,Lujan & Avalos Accounting & Tax,149029,
,,,M Accounting,149038,
,,,M&M Fast Tax,149039,
,,,M7 Financial,149049,
,,,Margolis Law Group,149055,
,,,Maxxum Fund Management,149061,
,,,Merchant Cash Advance Ninja,149067,
,,,McKenna Long & Aldridge Attorneys,149068,
,,,Mentor Economic Assistance Corp,149073,
,,,MHits Money Transfer Service,149080,
,,,Middlesex Hospital,149084,
,,,Minnesota Timberwolves Basketball Team,149088,
,,,MJM Income Tax Services,149090,
,,,MVB Bank,149108,
,,,MVP Tax & Financial Planning,149110,
,,,MW Beverage Financial Services,149111,
,,,MXTrade,149112,
,,,Riverside Investment Partners,149114,
,,,Mack Investments,149117,
,,,MagicPay,149128,
,,,Main Street Credit Union,149133,
,,,Maine Life & Retirement Strategies,149141,
,,,Marianna Financial Services,149164,
,,,Mark Epps Financial Advisory,149172,
,,,Market Observatory Trading,149174,
,,,Market Vectors,149176,
,,,Markus & Assoc CPA,149178,
,,,Marlin Business Bank,149179,
,,,Marlin Business Services Corp,149180,
,,,Martin Claire & Co Appraisal & Auction Services,149188,
,,,Martin Sprocket & Gear,149190,
,,,Martin Wealth Mgt,149191,
,,,Maryland Financial Planners,149192,
,,,Massbay Community College,149200,
,,,Mathes,149218,
,,,Maverik,149223,
,,,Max Score Credit Repair Service,149225,
,,,McClellan Davis Tax Specialists,149230,
,,,Medel Enterprises,149243,
,,,Meetinvest,149244,
,,,Megatron Acquisition Corp,149245,
,,,Meiji Yasuda Life Insurance Co,149246,
,,,Memorial Hermann Healthcare,149262,
,,,MercadoPago,149264,
,,,Merchant Source,149272,
,,,Merchants Credit Bureau,149278,
,,,Meridian Assoc,149284,
,,,Meritus Payment Solutions,149289,
,,,Minneapolis-St Paul Intl Airport,149304,
,,,Nicklaus Childrens Hospital,149308,
,,,Uvair,149309,
,,,Michael Houg Mortgage Consultant,149311,
,,,Mid-Atlantic Auctioneers,149332,
,,,Mid-Coast Title Co,149334,
,,,Midway Loan Center,149352,
,,,Midwest Wealth Advisors,149358,
,,,MilitaryStarter,149364,
,,,Miller-Green Financial Group,149369,
,,,Even Keel Investments,149370,
,,,Milwaukee Hard Money,149376,
,,,Mission San Jose Mortgage,149386,
,,,Mississippi Postal Employees Federal Credit Union,149387,
,,,Mobilitie Wireless Communication Solutions,149400,
,,,Momentum Ventures,149404,
,,,ETX Capital,149407,
,,,Money Supplier,149415,
,,,Montagna & Assoc CPA,149427,
,,,Montefiore Health System,149429,
,,,Moretas4less,149440,
,,,Morley Consulting Accountants Service,149448,
,,,Mortgage Forces Canada,149457,
,,,MortgageLeads,149464,
,,,Mosaic Financial Partners Inc,149467,
,,,Motley Fool,149470,
,,,Motor Trade Finances,149471,
,,,Mount Hood Community College,149473,
,,,Mount San Jacinto College,149474,
,,,Mountain Range Financial Advisors,149480,
,,,MountainSeed Appraisal Mgt,149485,
,,,Mueller & Assoc CPA,149487,
,,,Multibank,149488,
,,,Muscogee Creek Nation,149494,
,,,Mutual Financial Group,149496,
,,,My Real Estate Recovery,149506,
,,,My Retired Doctor,149507,
,,,MyHomeLoan,149510,
,,,MyTax.co.nz Consumer Tax Services,149512,
,,,National Guardian Life Insurance Co,149517,
,,,National Transmission Co,149520,
,,,Nattymac Mortgage,149521,
,,,NBC OK Bank,149522,
,,,QueBueno,149523,
,,,NN Investment Partners,149545,
,,,Nordam Group,149547,
,,,NASDI Construction Service,149548,
,,,North Carolina Central University,149549,
,,,North TX Tollway Authority,149550,
,,,Nathan G Hanna Investment & Retirement Services,149573,
,,,National Bankers Assn,149582,
,,,Boardsource,149585,
,,,National Commercial Bank Jamaica,149587,
,,,NDA National Debt Advisors,149591,
,,,National General Lender Services,149598,
,,,National Link,149604,
,,,National Real Tax Tracking,149606,
,,,National Tax Debt,149610,
,,,Nationwide Tax Practitioners,149622,
,,,Navigate Fund Solutions,149629,
,,,Navigate,149630,
,,,Nemea Bank,149647,
,,,Nestegg Wealth Advisors,149649,
,,,NETS,149656,
,,,New Jersey-American Water Co,149677,
,,,New River Financial Group,149686,
,,,New School,149687,
,,,Finex,149703,
,,,NewHomeOwnerFinancing.com,149721,
,,,NextPayDayAdvance.com,149736,
,,,Niagara Frontier Federal Municipal Employees Credit Union,149739,
,,,Nielsoft Finance,149742,
,,,Nigido Mullin Investment Strategies,149744,
,,,NinjaTrader,149747,
,,,Nitro Bookkeeping,149751,
,,,Nix Neighborhood Lending,149752,
,,,Nix Payday Loan,149753,
,,,Noble Birch Wealth Mgt,149755,
,,,Noble Funding,149756,
,,,Noble House Hotels & Resorts,149757,
,,,Nordea Bank Sa,149762,
,,,Nortel Networks,149765,
,,,North American Dismantling,149767,
,,,99Funding,149769,
,,,North East Jewelry Loans,149776,
,,,North FL Financial Assoc,149779,
,,,Northampton Financial Services,149793,
,,,Northland Car Credit,149808,
,,,Northpoint Commercial Finance,149810,
,,,Northridge Financial Group,149812,
,,,Northwest Community Health Care,149817,
,,,Note Freedom,149843,
,,,NovaFX Trading,149849,
,,,Western CT Health Network,149859,
,,,Falcon Operations Sub Inc,149870,
,,,Orange County Container Group,149873,
,,,Rick Singh Property Appraiser,149874,
,,,Oak Business Capital,149878,
,,,Chauplin,149879,
,,,Oak Grove Credit Center,149881,
,,,Oak Partners,149883,
,,,Oasis Financial,149888,
,,,Oasis Wealth Mgt,149890,
,,,Oceanside Christopher Federal Credit Union,149897,
,,,Okinus,149910,
,,,Oklahoma Farm Bureau,149914,
,,,Arbor Creek Family Care,149917,
,,,Old National Investments,149925,
,,,Olympic Mortgage Bank,149934,
,,,Hoffman Acquisition Corp,149940,
,,,On The Mark Money,149942,
